codigo,padre,nombre,sedes
20,2,Dirección Médico Asistencial,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2000,20,Dirección Médico Asistencial - Particulares,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2001,20,Dirección Médico Asistencial - Servicio Farmacéutico,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2002,20,Dirección Médico Asistencial - Programa Sura Evento,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2003,20,Dirección Médico Asistencial - Hematología,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2004,20,Dirección Médico Asistencial - Reumatología,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2005,20,Dirección Médico Asistencial - Óptica Medellín,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2006,20,Dirección Médico Asistencial - Programa Sanitas Evento,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2007,20,Dirección Médico Asistencial - Óptica Cali,Cali - Sede Principal
2008,20,Dirección Médico Asistencial - Programa Nueva EPS Eventos Hemofilia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
21,2,Perinatal,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
2100,21,Perinatal - Medellín,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3,,Programas PGP,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
30,3,Hemofilia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3000,30,Hemofilia - Antioquia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3001,30,Hemofilia - Pereira,Pereira - Sede Principal
3002,30,Hemofilia - Valle Del Cauca,Cali - Sede Principal
3003,30,Hemofilia - Armenia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
31,3,Diabetes,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3100,31,Diabetes - Antioquia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3101,31,Diabetes - Pereira,Pereira - Sede Principal
3102,31,Diabetes - Valle Del Cauca,Cali - Sede Principal
32,3,Enfermedades Huérfanas,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3200,32,Enfermedades Huérfanas - Antioquia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3201,32,Enfermedades Huérfanas - Pereira,Pereira - Sede Principal
3202,32,Enfermedades Huérfanas - Valle Del Cauca,Cali - Sede Principal
3203,32,Enfermedades Huérfanas - Armenia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
33,3,Autoinmunes,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3300,33,Autoinmunes - Pereira,Pereira - Sede Principal
3301,33,Autoinmunes - Valle Del Cauca,Cali - Sede Principal
3302,33,Autoinmunes - Armenia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
34,3,G.A.M.,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3400,34,G.A.M. - Antioquia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
3401,34,G.A.M. - Pereira,Pereira - Sede Principal
3402,34,G.A.M. - Valle Del Cauca,Cali - Sede Principal
3403,34,G.A.M. - Armenia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
8,,Cuentas En Participación,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
80,8,Cuentas En Participación,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
8000,80,Cuentas En Participación - Oftalmología,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
9,,Programa De Investigación,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
90,9,Programas De Investigación,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
9000,90,Programas De Investigación,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
