codigo_cups,nombre_servicio,categoria
275104,SUTURA DE LACERACION EN LABIOS,procedimientos
275201,ESTOMATORRAFIA (SUTURA DE HERIDA EN MUCOSA ORAL) DE MENOS DE CINCO CENTIMETROS,procedimientos
275202,ESTOMATORRAFIA (SUTURA DE HERIDA EN MUCOSA ORAL) DE MAS DE CINCO CENTIMETROS,procedimientos
275203,SUTURA DE LACERACION DE OTRA PARTE DE LA BOCA,procedimientos
276102,SUTURA DE LACERACION DE PALADAR,procedimientos
413101,BIOPSIA POR ASPIRACION DE MEDULAOSEA,procedimientos
48101,BLOQUEO DE NERVIO TRIGEMINAL O ESFENOPALATINO,procedimientos
53102,BLOQUEO DE PLEJO BRAQUIAL,procedimientos
53103,BLOQUEO DE PLEJO LUMBOSACRO,procedimientos
53108,BLOQUEO DE PLEJO CELIACO,procedimientos
53111,BLOQUEO DEL NERVIO HIPOGASTRICO SUPERIOR,procedimientos
53113,BLOQUEO REGIONAL CONTINUO,procedimientos
53114,"BLOQUEO SIMPATICO REGIONAL (CERVICAL, TORACICO O LUMBAR)",procedimientos
53115,BLOQUEO DEL SIMPATICO PRESACRO (GANGLIO IMPAR DE WALTER),procedimientos
53304,GANGLIOLISIS EN GANGLIO DEL V PAR(GASSER) POR RADIOFRECUENCIA O FENOLIZACION,procedimientos
61002,BIOPSIA DE GLANDULA TIROIDES VIA PERCUTANEA,procedimientos
697101,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO(DIU),procedimientos
699101,INSERCION DE DISPOSITIVO TERAPEUTICO NO ANTICONCEPTIVO EN EL UTERO,procedimientos
767705,REDUCCION Y FIJACION DE LUXACION DENTOALVEOLAR QUE COMPROMETE HASTA TRES DIENTES,procedimientos
767802,"REDUCCION CERRADA DE FRACTURAS ALVEOLARES, CON REIMPLANTE DENTAL Y FIJACION",procedimientos
768301,REDUCCION CERRADA DE LUXACION ARTICULACION TEMPORO MANDIBULAR,procedimientos
